,id,join_date,sex,company_type,wfh,designation,work_hours,fatigue_score,burn_rate
0,fffe32003000360033003200,2008-09-30,Female,Service,No,2.0,3.0,0.38,0.16
1,fffe3700360033003500,2008-11-30,Male,Service,Yes,1.0,2.0,0.5,0.36
3,fffe32003400380032003900,2008-11-03,Male,Service,Yes,1.0,1.0,0.26,0.2
4,fffe31003900340031003600,2008-07-24,Female,Service,No,3.0,7.0,0.6900000000000001,0.52
5,fffe3300350037003500,2008-11-26,Male,Product,Yes,2.0,4.0,0.36,0.29
6,fffe33003300340039003100,2008-01-02,Female,Service,No,3.0,6.0,0.79,0.62
7,fffe32003600320037003400,2008-10-31,Female,Service,Yes,2.0,4.0,0.44000000000000006,0.33
10,fffe33003100330032003700,2008-03-16,Male,Product,Yes,2.0,3.0,0.53,0.5
11,fffe3400310035003800,2008-05-12,Male,Service,Yes,0.0,1.0,0.18,0.12
14,fffe33003100330036003300,2008-05-14,Male,Product,Yes,1.0,3.0,0.58,0.51
15,fffe31003700350033003100,2008-02-03,Female,Service,Yes,3.0,5.0,0.47000000000000003,0.32
16,fffe33003200360037003000,2008-03-17,Male,Service,Yes,1.0,2.0,0.5900000000000001,0.39
17,fffe31003500350030003400,2008-03-28,Male,Service,No,3.0,6.0,0.67,0.59
18,fffe31003000380035003800,2008-05-29,Female,Product,Yes,2.0,4.0,0.4,0.22
20,fffe31003300360039003000,2008-08-31,Male,Product,No,2.0,4.0,0.76,0.57
21,fffe32003700370038003300,2008-01-15,Male,Service,Yes,1.0,3.0,0.63,0.47
22,fffe31003800390035003300,2008-05-04,Male,Service,Yes,1.0,3.0,0.67,0.46
26,fffe3200340036003400,2008-10-11,Male,Service,No,2.0,4.0,0.6599999999999999,0.44
27,fffe3600330034003600,2008-09-18,Female,Service,No,2.0,4.0,0.74,0.6
28,fffe31003600310031003600,2008-09-16,Female,Service,No,2.0,5.0,0.67,0.46
30,fffe32003300340037003400,2008-05-12,Female,Product,Yes,1.0,2.0,0.36,0.2
31,fffe3500380031003000,2008-12-16,Female,Service,Yes,1.0,2.0,0.39,0.2
32,fffe32003400340039003400,2008-10-11,Female,Service,No,0.0,1.0,0.3,0.19
33,fffe31003500310034003800,2008-03-10,Male,Service,No,1.0,3.0,0.47000000000000003,0.31
34,fffe32003700310030003800,2008-05-03,Male,Product,No,4.0,8.0,0.8699999999999999,0.81
35,fffe32003800300036003300,2008-08-04,Male,Service,Yes,3.0,5.0,0.44000000000000006,0.39
36,fffe390036003000,2008-07-31,Female,Service,Yes,3.0,6.0,0.58,0.42
37,fffe32003700390039003300,2008-06-17,Female,Product,Yes,0.0,2.0,0.39,0.19
38,fffe32003500390036003500,2008-04-28,Female,Service,Yes,3.0,7.0,0.6599999999999999,0.56
39,fffe33003400390030003300,2008-10-30,Female,Service,No,4.0,7.0,0.73,0.53
41,fffe3800360036003400,2008-06-22,Female,Product,Yes,1.0,3.0,0.54,0.33
42,fffe33003200380030003900,2008-02-18,Male,Service,No,2.0,5.0,0.5,0.45
43,fffe31003800370038003900,2008-06-24,Female,Service,Yes,2.0,3.0,0.6,0.36
44,fffe31003700330031003000,2008-12-08,Female,Service,Yes,3.0,6.0,0.75,0.59
46,fffe32003300380035003700,2008-04-11,Male,Service,No,4.0,10.0,1.0,0.94
49,fffe32003700300034003600,2008-08-28,Female,Product,Yes,1.0,3.0,0.6,0.37
50,fffe31003500390030003200,2008-03-21,Male,Service,No,2.0,6.0,0.74,0.65
51,fffe31003500360032003800,2008-07-22,Female,Service,Yes,2.0,5.0,0.64,0.49
53,fffe32003100320039003700,2008-01-23,Male,Service,Yes,1.0,3.0,0.5599999999999999,0.38
54,fffe31003200340033003100,2008-10-09,Male,Product,No,2.0,5.0,0.74,0.62
55,fffe33003100340034003900,2008-09-10,Female,Product,Yes,3.0,5.0,0.61,0.39
56,fffe32003100340032003800,2008-05-26,Female,Product,Yes,2.0,4.0,0.31,0.15
57,fffe380030003100,2008-12-22,Male,Service,No,2.0,5.0,0.8,0.61
58,fffe3900310031003800,2008-04-08,Female,Product,No,1.0,2.0,0.4,0.26
59,fffe3200390030003200,2008-12-22,Female,Service,No,2.0,2.0,0.36,0.28
60,fffe3800370031003300,2008-02-25,Male,Product,Yes,2.0,5.0,0.8699999999999999,0.71
62,fffe33003200310034003500,2008-01-08,Female,Service,No,3.0,5.0,0.6799999999999999,0.57
63,fffe32003200310030003200,2008-11-20,Female,Service,Yes,2.0,3.0,0.49000000000000005,0.39
64,fffe3300300031003100,2008-09-11,Female,Product,No,3.0,6.0,0.79,0.61
65,fffe33003300310030003900,2008-06-11,Male,Product,No,3.0,6.0,0.76,0.62
66,fffe31003200340034003500,2008-02-28,Female,Service,No,5.0,9.0,0.9199999999999999,0.8
67,fffe32003400320036003200,2008-05-03,Male,Service,Yes,4.0,6.0,0.65,0.63
68,fffe3600330031003200,2008-08-20,Female,Service,No,3.0,5.0,0.6799999999999999,0.6
69,fffe31003300330034003700,2008-10-18,Female,Product,No,4.0,8.0,0.8699999999999999,0.79
70,fffe3600330032003400,2008-08-14,Male,Service,Yes,2.0,5.0,0.62,0.39
71,fffe3500300037003900,2008-01-08,Female,Service,No,3.0,5.0,0.58,0.36
72,fffe33003400360037003500,2008-07-17,Female,Product,No,2.0,4.0,0.6599999999999999,0.5
73,fffe32003500310039003700,2008-09-11,Male,Product,No,4.0,7.0,0.82,0.72
74,fffe32003600370032003500,2008-07-05,Female,Service,Yes,2.0,3.0,0.49000000000000005,0.34
75,fffe3200350037003200,2008-02-04,Female,Service,No,1.0,2.0,0.41,0.27
76,fffe3800390036003200,2008-08-01,Male,Service,No,3.0,7.0,0.74,0.66
78,fffe33003300360032003700,2008-05-21,Male,Service,Yes,1.0,2.0,0.44000000000000006,0.27
